,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.44,-0.37,1768,stable,0.0
1,,1,-0.66,-0.12,6252,stable,0.0
2,,1,-0.98,-0.02,6619,stable,0.0
3,1.0,0,-0.57,-0.95,4525,stable,0.0
4,,1,-0.28,-0.08,6252,stable,0.0
5,,1,-0.3,-0.33,6251,stable,0.0
6,,1,-0.27,-0.24,6252,stable,0.0
7,,0,-0.58,-0.43,6252,stable,0.0
8,,1,-0.72,-0.47,6251,stable,0.0
9,,0,-0.45,-0.44,6252,stable,0.0
10,,1,-0.69,-0.26,6251,stable,0.0
11,,1,-0.06,-0.41,6251,stable,0.0
12,,0,-0.88,-0.34,6252,stable,0.0
13,,0,-0.73,-0.2,6251,stable,0.0
14,,1,-0.6,-0.25,6252,stable,0.0
15,,0,-0.98,-0.06,6252,stable,0.0
16,1.0,0,-0.48,-0.39,5537,stable,0.0
17,1.0,1,-0.35,-0.95,498,stable,0.0
18,1.0,1,-0.67,-0.85,516,stable,0.0
19,,1,-0.54,-0.22,6252,stable,0.0
20,,0,-0.23,-0.9,6252,stable,0.0
21,,1,-0.98,-0.41,6251,stable,0.0
22,,1,-0.58,-0.8,6252,stable,0.0
23,,0,-0.52,-0.85,6252,stable,0.0
24,,0,-0.83,-0.15,6251,stable,0.0
25,,1,-0.18,-0.16,6252,stable,0.0
26,,1,-0.56,-0.7,6252,stable,0.0
27,,1,-0.59,-0.95,6251,stable,0.0
28,,1,-0.68,-0.18,7817,stable,0.0
29,,1,-0.3,-0.16,6251,stable,0.0
30,,0,-0.86,-0.37,6252,stable,0.0
31,,1,-0.47,-0.44,6252,stable,0.0
32,,1,-0.03,-0.91,6252,stable,0.0
33,,0,-0.6,-0.1,6252,stable,0.0
34,,1,-0.54,-0.84,6251,stable,0.0
35,,1,-0.34,-0.95,6252,stable,0.0
36,,0,-0.96,-0.28,6252,stable,0.0
37,,1,-0.83,-0.94,6251,stable,0.0
38,,1,-0.23,-0.86,6252,stable,0.0
39,,1,-0.99,-0.2,6252,stable,0.0
40,,1,-0.29,-0.91,6252,stable,0.0
41,,0,-0.88,-0.64,6251,stable,0.0
42,,1,-0.84,-0.8,6252,stable,0.0
43,,0,-0.61,-0.88,6252,stable,0.0
44,,1,-0.23,-0.77,6251,stable,0.0
45,,1,-0.87,-0.54,6252,stable,0.0
46,,1,-0.25,-0.9,6252,stable,0.0
47,,0,-0.71,-0.44,6252,stable,0.0
48,,1,-0.42,-0.52,6251,stable,0.0
49,,1,-0.39,-0.94,6252,stable,0.0
50,,1,-0.39,-0.24,6252,stable,0.0
51,,0,-0.2,-0.1,6252,stable,0.0
52,,0,-0.85,-0.43,6251,stable,0.0
53,,0,-0.77,-0.02,6251,stable,0.0
54,,1,-0.54,-0.87,6252,stable,0.0
55,,1,-0.56,-0.57,6251,stable,0.0
56,,1,-0.5,-0.79,6252,stable,0.0
57,,1,-0.04,-0.88,6252,stable,0.0
58,,0,-0.4,-0.38,6252,stable,0.0
59,,1,-0.47,-0.86,6251,stable,0.0
60,,1,-0.15,-0.49,6252,stable,1.0
61,,1,-0.17,-0.39,6252,stable,1.0
62,,0,-0.76,-0.97,6251,stable,1.0
63,,1,-0.73,-0.14,6251,stable,1.0
64,,1,-0.67,-0.29,6252,stable,1.0
65,,1,-0.48,-0.39,6251,stable,1.0
66,,1,-0.3,-0.87,6252,stable,1.0
67,,0,-0.13,-0.37,6251,stable,1.0
68,,1,-0.66,-0.59,6251,stable,1.0
69,,1,-0.2,-0.77,6252,stable,1.0
70,,1,-0.39,-0.28,6252,stable,1.0
71,,1,-0.61,-0.55,6251,stable,1.0
72,,1,-0.62,-0.02,6251,stable,1.0
73,,0,-0.5,-0.8,6252,stable,1.0
74,,0,-0.6,-0.07,6252,stable,1.0
75,,0,-0.76,-0.52,6252,stable,1.0
76,,1,-0.49,-0.14,6253,stable,1.0
77,,1,-0.46,-0.36,6253,stable,1.0
78,,1,-0.84,-0.29,6253,stable,1.0
79,,1,-0.44,-0.47,6253,stable,1.0
80,,1,-0.73,-0.44,6253,stable,1.0
81,,1,-0.3,-0.95,6252,stable,1.0
82,,0,-0.8,-0.39,6251,stable,1.0
83,,1,-0.67,-0.61,6253,stable,1.0
84,,1,-0.95,-0.61,6253,stable,1.0
85,,1,-0.65,-0.19,6253,stable,1.0
86,,1,-0.72,-0.33,6253,stable,1.0
87,,0,-0.87,-0.17,6252,stable,1.0
88,,1,-0.65,-0.53,6253,stable,1.0
89,,1,-0.38,-0.76,6252,stable,1.0
90,,1,-0.41,-0.2,6252,volatile,1.0
91,,0,-0.76,-0.69,6251,volatile,1.0
92,,0,-0.73,-0.52,6252,volatile,1.0
93,,0,-0.41,-0.43,6252,volatile,1.0
94,,1,-0.25,-0.34,6252,volatile,1.0
95,,0,-0.34,-0.48,6252,volatile,1.0
96,,0,-0.3,-0.35,6251,volatile,1.0
97,,0,-0.91,-0.42,6252,volatile,1.0
98,,0,-0.7,-0.44,6252,volatile,1.0
99,,1,-0.64,-0.5,6252,volatile,1.0
100,,0,-0.28,-0.19,6252,volatile,1.0
101,,0,-0.02,-0.59,6251,volatile,1.0
102,,0,-0.2,-0.09,6252,volatile,1.0
103,,0,-0.32,-0.76,6251,volatile,1.0
104,,0,-0.09,-0.98,6252,volatile,1.0
105,,1,-0.62,-0.56,6252,volatile,1.0
106,,0,-0.17,-0.16,6251,volatile,1.0
107,,0,-0.74,-0.07,6252,volatile,1.0
108,,0,-0.02,-0.41,6252,volatile,1.0
109,,0,-0.7,-0.57,6252,volatile,1.0
110,,1,-0.24,-0.28,6252,volatile,1.0
111,,1,-0.59,-0.76,6252,volatile,1.0
