ID_STAI,multiple,STAI_Q21,STAI_Q22,STAI_Q23,STAI_Q24,STAI_Q25,STAI_Q26,STAI_Q27,STAI_Q28,STAI_Q29,STAI_Q30,STAI_Q31,STAI_Q32,STAI_Q33,STAI_Q34,STAI_Q35,STAI_Q36,STAI_Q37,STAI_Q38,STAI_Q39,STAI_Q40,STAItotal,ID_EPQ,Q52,EPQ_Q1,EPQ_Q2,EPQ_Q3,EPQ_Q4,EPQ_Q5,EPQ_Q6,EPQ_Q7,EPQ_Q8,EPQ_Q9,EPQ_Q10,EPQ_Q11,EPQ_Q12,EPQ_Q13,EPQ_Q14,EPQ_Q15,EPQ_Q16,EPQ_Q17,EPQ_Q18,EPQ_Q19,EPQ_Q20,EPQ_Q21,EPQ_Q22,EPQ_Q23,EPQ_Q24,EPQ_Q25,EPQ_Q26,EPQ_Q27,EPQ_Q28,EPQ_Q29,EPQ_Q30,EPQ_Q31,EPQ_Q32,EPQ_Q33,EPQ_Q34,EPQ_Q35,EPQ_Q36,EPQ_Q37,EPQ_Q38,EPQ_Q39,EPQ_Q40,EPQ_Q41,EPQ_Q42,EPQ_Q43,EPQ_Q44,EPQ_Q45,EPQ_Q46,EPQ_Q47,EPQ_Q48,E,L,ID_PSWQ,Q76,ASI_Q77,ASI_Q78,ASI_Q79,ASI_Q80,ASI_Q81,ASI_Q82,ASI_Q83,ASI_Q84,ASI_Q85,ASI_Q86,ASI_Q87,ASI_Q88,ASI_Q89,ASI_Q90,ASI_Q91,ASI_Q92,Q134,PWSQ_Q135,PWSQ_Q136,PWSQ_Q137,PWSQ_Q138,PWSQ_Q139,PWSQ_Q140,PWSQ_Q141,PWSQ_Q142,PWSQ_Q143,PWSQ_Q144,PWSQ_Q145,PWSQ_Q146,PWSQ_Q147,PWSQ_Q148,PWSQ_Q149,PWSQ_Q150,ID_MASQ,MASQ_Q96,MASQ_Q97,MASQ_Q98,MASQ_Q99,MASQ_Q100,MASQ_Q101,MASQ_Q102,MASQ_Q103,MASQ_Q104,MASQ_Q105,MASQ_Q106,MASQ_Q107,MASQ_Q108,MASQ_Q109,MASQ_Q110,MASQ_Q111,MASQ_Q112,MASQ_Q113,MASQ_Q114,MASQ_Q115,MASQ_Q116,MASQ_Q117,MASQ_Q118,MASQ_Q119,MASQ_Q120,MASQ_Q121,MASQ_Q122,MASQ_Q123,MASQ_Q124,MASQ_Q125,MASQ_Q126,MASQ_Q127,MASQ_Q128,MASQ_Q129,MASQ_Q130,MASQ_Q131,MASQ_Q132,MASQ_Q133,MASQ_Q134,lossInterest,LowPosAffect,ID_BDI,BDI_Q2,BDI_Q37,BDI_Q38,BDI_Q39,BDI_Q40,BDI_Q41,BDI_Q42,BDI_Q43,BDI_Q44,BDI_Q45,BDI_Q46,BDI_Q47,BDI_Q48,BDI_Q49,BDI_Q50,BDI_Q51,BDI_Q52,BDI_Q57,BDI_Q58,BDI_Q59,BDI_Q60,CESD_Q36,CESD_Q63,CESD_Q64,CESD_Q65,CESD_Q66,CESD_Q67,CESD_Q68,CESD_Q70,CESD_Q86,CESD_Q71,CESD_Q72,CESD_Q73,CESD_Q74,CESD_Q75,CESD_Q76,CESD_Q77,CESD_Q78,CESD_Q79,CESD_Q80,CESD_Q81,checkallcoloumns,filter_$,VarSTAI,sdSTAI,sdEPQ,varEPQ,varMASQ,sdMASQ,ASItotal,EPQtotalP,N,BDItotal,PSWQtotal,AnxArousal,AnhedDep,CESDtotal,STAIanx,STAIdep,ASItotalNEW,PCAdep,PCAanx,PCAcombanxapp,PCAdep2,PCAanxarou,FAC1_1,FAC2_1,FAC3_1,PCAdepNEW,PCAanxNEW,FAC1_2,FAC2_2,FAC1_3,FAC1_4,FAC2_4,FAC3_4,FAC1_5,FAC2_5,FAC3_5,FAC1_6,FAC1_7,FAC2_7,FAC3_7,generalfac,anxvdep,VAR00001
0,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2, ,1,2,2,45,0, ,0,0,1,1,0,1,1,1,0, ,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,8,3,0, ,3,0,0,0,3,1,2,1,2,2,2,2,2,2,0,0, ,3,2,2,2,3,3,2,2,3,2,4,1,3,2,2,3,0,1,3,1,3,3,1,3,1,2,1,3,1,1,4,1,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,3,1,3,3,3,3,1,2,11,44,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3, ,1,1,3, ,1,1,1,1,1,0.134210526315789,0.366347548532523,0.485687854441406,0.235892691951896,1.07692307692308,1.03774904332554, ,2,3,21,49,18,55,16,10,35,22,-0.16271191584092,-0.78963741018708,0.0872774716102623,-0.575173327567176,-0.837144155716158,-0.404742899138514,-0.0576651608940533,-1.01420981024274,-0.165361024701495,-0.7655879607164,-0.157416024386001,-0.817540976411981,-0.655056289803301, , , ,-0.106780731301963,-0.37165475153314,-0.800776285039095,-0.543370633936992,-0.617929377951372,0.437168221093986,-1.24638477352298,-0.570269983168978,-0.496297922225894,0
1,1,2,2,1,1,1,4,4,1,1,3,2,2,3,4,4,1,3,2,3,1,40,1, ,0,0,0,1,0,1,0,1,0, ,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,5,5,1, ,3,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1, ,2,2,2,3,2,3,3,4,2,1,4,4,4,2,3,4,1,1,2,1,3,2,1,2,1,1,1,2,1,2,3,1,1,1,1,2,1,3,1,4,1,1,4,1,5,1,1,1,4,1,3,1,2,3,1,1,11,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,4, , ,1,3,1,3,1,3,1,2,1,1,1,0,1.36190476190476,1.16700675315302,0.505291152639911,0.25531914893617,1.23481781376518,1.11122356605914,9,1,3,21,55,17,54,18,12,28,9, , , , , , , , , , , , , ,-0.100130668625717,-0.176912471023898,-1.11196721081535,-0.255585807771419,-0.227363132564865,-1.17753857160253,-0.545143470635861,-0.346027687501607,-0.0668233784891543,-0.876297023956253, , ,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47,1, ,1,1,1,1,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,10,1, ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,70,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.52704627669473,0.277777777777778,0.0499325236167341,0.223455865030959, ,6,1,23,42,18,79,25,7,40,3, , , , , , , , , , , , , , , , ,-0.99976403164267,1.56975360617224,-2.47777275393933,-0.293976553543042,-1.79731502413786,2.2992417661686,-1.51960806867765, , ,1
5,0,3,2,2,1,1,2,3,2,2,4,1,2,3,2,1,3,2,1,3,2,37,5, ,1,1,1,0,0,1,1,1,1, ,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,12,5,5, ,2,0,1,4,2,1,0,0,0,0,0,1,0,0,0,0, ,4,4,2,2,4,3,3,2,3,1,3,2,4,3,3,3,5,4,4,2,4,3,1,4,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,3,2,1,3,1,4,1,2,2,4,1,4,1,2,2,1,1,9,41,5,2,1,1,2,1,1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,1,2,2,3,4,2,3,2,4,1,1,3,2,3,1,1,4,4,3,1,1,1,1,0.747619047619047,0.864649667564296,0.491368607293056,0.241443108233118,1.31309041835358,1.1459015744616,11,2,6,30,58,24,50,31,12,25,11,0.219015172391504,-0.477827776043895,-0.6795415525552,0.910473013063165,-0.317496748588149,0.58569886226338,-0.83157003566373,0.150335822917466,0.229409783756437,-0.477268414975124,0.135643855169043,-0.366697964729633,0.0819233310670502,-0.519765698519881,0.964145701472638,-0.248362330655836,-0.646718772568173,0.649646772226935,-0.133842240526743,0.0089671859988924,-0.41695744656178,0.0771533964883399,0.646365627764272,-0.0967265084942569,-0.499211077530769,5
7,1,3,3,2,3,1,2,2,2,3,3,1,2,2,3,2,2,2,2,2,2,47,7, ,1,1,0,1,0,1,1,0,0, ,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,4,7,7, ,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0, ,4,3,4,5,4,4,5,2,2,1,2,3,4,3,5,4,7,2,4,1,4,4,1,4,1,1,1,4,1,2,4,1,1,1,1,4,1,3,1,4,2,1,3,1,4,3,1,3,4,1,4,3,4,4,1,3,15,29,7,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,4,1,1,3,3,1,1,2,3,1,1,1,3,1,1,1,1,1,0,0.428571428571429,0.654653670707977,0.504374939460682,0.254394079555967,1.82186234817814,1.34976381199754,6,1,7,24,65,23,44,18,15,32,6, , , , , , , , , , , , , ,0.492069276343585,-0.288019754212739,-0.623677161857329,0.513481715741655,-0.35338157883715,-0.852529360073901,0.0496802456490717,0.905582538687468,-0.761956904292082,-0.283848053625007, , ,7
7,1,2,2,2,3,2,3,2,2,2,3,1,3,1,1,2,2,3,4,2,3,54,7, ,1,1,1,1,1,1,1,0,0, ,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,10,7,7, ,1,1,3,2,3,2,2,1,0,0,0,0,1,0,0,1, ,1,5,1,5,5,5,5,3,5,2,1,5,5,5,5,5,7,2,2,1,3,2,2,3,2,2,2,3,3,3,3,1,1,2,2,3,1,1,1,3,1,1,2,1,2,2,1,3,3,1,3,1,3,2,2,1,14,47,7,2,1,2,2,1,1,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,2,1,3,3,3,2,2,1,3,2,3,1,2,1,2,1,2,1,0,0.661904761904762,0.813575295780767,0.491368607293056,0.241443108233117,0.657219973009447,0.810691046582757, ,0,10,29,83,26,61,31,17,37,17, , , , , , , , , , , , , , , , ,1.47884061952901,0.305129127429512,-0.287638737093505,1.22365506361142,1.68495044625517,0.135542548290988,0.0463302656620586, , ,7
8,0,3,2,3,1,1,3,3,2,2,4,2,2,3,2,2,3,2,3,3,1,38,8, ,0,1,1,0,0,1,1,1,1, ,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0, ,1,0,0,1,1,12,1,8, ,4,1,3,4,4,3,4,3,0,3,0,0,0,1,0,1, ,3,4,1,2,5,4,3,2,3,1,2,4,4,5,3,5,8,4,4,1, ,4,4,2,1,1,1,2,1,2,3,1,1,1,3,2,4,2,1,3,1,1,2,1,2,2,1,1,3,1,3,2,4,3,1,1,12,47,8,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,2,1,1,3,2,2,2,1,1,2,2,3,2,2,1,3,2,2,1,1,1,1,0.714285714285714,0.845154254728517,0.497821340398864,0.247826086956522,1.26955903271693,1.12674710237787, ,1,3,25,69,28,59,28,14,24,31,-0.528055574514166,1.11863978567999,-0.449048964642068,0.0720182298168063,1.28807046114208,-0.479361819507976,0.10447857012091,1.22970977076929,-0.509289975446527,1.12493535572042,-0.506285747394445,1.19379359334328,-0.0204128080390018, , , ,-0.101464714689317,-0.238739600063239,1.23380122777727,-0.0685968022482107,-0.0270234696295043,-0.330655635541902,0.754901084767317,0.173644068603323,1.19280541984756,8
13,0,2,2,2,2,3,2,3,2,2,2,1,2,2,2,3,2,2,2,2,1,48,13, ,0,0,0,1,1,1,0,0,0, ,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,2,4,13, ,1,0,1,1,2,1,1,1,0,1,0,1,0,0,0,1, ,3,2,3,3,2,3,2,4,3,3,3,2,2,1,2,2,13,2,2,1,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,1,2,2,1,2,1,2,4,3,2,1,1,16,60,13,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,1,2,2,3,1,2,1,2,1,1,0.3,0.547722557505166,0.505291152639911,0.25531914893617,0.458839406207827,0.677376856858741, ,2,5,29,44,22,76,30,12,36,11,1.27052389280816,-1.58856521813001,-0.0170697472640097,1.36562003535907,-1.66489568623596,1.62404165858621,-1.05273667070904,-0.896441098465087,1.24034418917103,-1.57310395440299,1.13157083228101,-1.53280327566616,0.265459718496497, , , ,-0.565568565341702,1.57015191163807,-1.31429087911742,0.306867294821719,-1.04606061011173,1.87435822537034,-0.504363609946488,0.148771233963588,-1.89420289436834,13
20,0,3,2,2,2,2,1,3, ,3,2,2,2,3,2,2,2,1,2,4,1,42,20, ,0,1,0,1,0,1,0,1,0, ,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,2,20, ,4,0,0,3,3,0,3,2,0,3,0,0,0,2,0,2, ,1,3,5,5,5,5,5,1,4,1,3,4,5,5,5,5,20,3,1,1,3,1,1,4,1,2,1,2,1,4,2,1,1,3,1,2,1,3,1,3,1,1,2,1,3,3,3,1,3,1,4,1,2,2,4,1,23,50,20,1,1,1,2,2,1,2,2,1,2,2,3,1,1,1,1,2,1,3,1,3,1,3,3,2,3,1,1,2,1,1,1,2,4,3,3,3,1,2,3,1,1,1,0.621052631578947,0.788068925652412,0.50253750187977,0.25254394079556,1.15519568151147,1.07480029843291, ,1,4,34,76,19,73,35,11,31,22,1.04622661380325,-0.53568193132516,0.312412721508035,1.00746942897658,-0.658784768013189,1.10059296710526,-0.094033439906121,-0.421155786908315,1.02064707362134,-0.515807155325822,0.96218472835815,-0.490263160416983,0.459477046250269, , , ,0.0946338084145069,1.03150955890891,-0.429230501243704,0.509253155975541,-0.335202163371248,1.40238569729268,-0.182349079992363,0.566043134569113,-0.893760507999697,20
24,1,3,2,3,1,2,2,3,1,3,3,2,2,3,2,1,3,2,2,3,2,40,24, ,1,1,0,1,0,1,0,1,0, ,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,5,2,24, ,4,0,2,3,2,2,1,0,0,0,2,2,0,1,0,1, ,1,3,1,4,5,4,5,1,3,1,3,2,5,3,5,5,24,2,4,2,4,4,1,4,1,2,1,2,4,1,4,1,1,1,1,4,1,4,1,5,2,1,3,1,3,1,1,3,4,1,5,1,3,4,1,1,12,31,24,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2,1,3,1,1,4,3,1,1,2,3,1,2,1,2,1,2,1,1,1,0,0.561904761904762,0.749603069567329,0.499768679145611,0.249768732654949,2.0080971659919,1.41707345116331,20,2,6,26,73,25,43,24,14,26,20, , , , , , , , , , , , , ,0.0744815534306899,-0.243663254058247,0.625533118243149,0.332945944606948,-0.565505303545438,0.502322849960766,0.00354848922283608,0.708356239979934,-0.965632512736869,0.463824559889918, , ,24
24,1,3,2,3,2,1,2,3,2,2,3,2,2,3,1,2,3,2,2,3,2,42,24, ,0,0,0,1,1,1,1,0,0, ,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,6,7,24, ,2,0,2,3,2,1,1,1,0,0,0,0,0,0,0,0, ,3,3,3,3,3,3,2,3,3,1,3,4,4,2,2,3,24,4,4,1,3,3,1,3,1,2,1,4,2,1,2,1,1,1,1,2,1,1,1,4,1,1,4,1,4,1,1,1,4,1,4,1,4,4,1,1,9,35,24,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,2,4,1,1,1,4,1,1,1,1,1,0,0.461904761904762,0.679635756787974,0.50253750187977,0.25254394079556,1.70985155195682,1.30761292130233, ,1,6,22,55,21,44,13,14,28,12, , , , , , , , , , , , , , , , ,0.153209821497667,-0.756837606510074,-0.573131592128296,-0.448576427539742,0.373039345927197,-0.880394040596071,-0.481308266410065, , ,24
24,1,3,2,3,2,2,2,2,2,2,3,1,2,3,2,2,3,2,2,4,2,41,24, ,1,0,0,1,1,1,1,0,0, ,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,6,6,24, ,2,0,0,0,2,0,1,1,0,0,0,1,0,1,0,0, ,2,2,1,3,4,4,3,3,3,1,3,4,3,2,2,4,24,3,4,2,4,4,1,4,1,2,1,4,2,1,4,1,1,1,1,3,1,2,1,4,1,1,3,1,3,2,1,1,3,1,3,2,3,3,1,1,12,35,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1,4,2,1,1,3,1,1,1,4,1,1,1,4,1,1,1,1,1,0,0.490476190476191,0.700340053457026,0.504374939460682,0.254394079555967,1.41025641025641,1.18754217199071, ,2,7,21,60,21,47,13,13,28,8, , , , , , , , , , , , , , , , ,0.289500534719122,-0.70517787057913,-0.868096381648401,-0.374792711878724,0.558531560233904,-0.881638797967093,-0.596236542018525, , ,24
24,1,4,1,4,1,1,3,4,1,2,4,1,1,4,3,1,4,2,2,4,1,25,24, ,0,0,1,0,0,0,1,0,0, ,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1, ,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,10,6,24, ,1,0,2,2,3,0,2,0,0,0,0,0,2,1,0,1, ,3,1,4,1,3,3,1,4,1,4,4,3,3,1,1,2,24,3,5,1,5,5,1,4,1,1,1,5,1,1,4,1,1,1,1,4,1,1,1,5,1,1,5,1,4,1, ,2,5,2,5,1,5,5,1,2,7,18,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,1, ,3,1,1,1,4,1,2,1,4,1,1,1,2,1,0,1.83333333333333,1.35400640077266,0.505525029603437,0.255555555555556,3.17567567567568,1.78204255720105, ,4,1,21,37,22,25,16,10,15,14, , , , , , , , , , , , , , , , ,-1.80252594068121,-0.879338769585124,0.507494167971267,-1.63445695126399,-1.4129029254592,-1.50865767429933,0.604425270126069, , ,24
25,0,2,3,2,3,2,1,3,1,3,2,3,2,3,2,2,2,3,2,2,3,53,25, ,1,1,0,1,1,1,1,1,1, ,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,9,3,25, ,3,3,3,3,3,3,4,3,3,2,2,2,2,2,3,2, ,2,4,2,4,4,4,3,2,5,2,3,4,3,4,3,5,25,2,2,1,3,2,1,3,3,2,4,3,1,4,3,2,2,3,3,1,3,3,4,3,2,2,3,2,3,3,4,3,2,4,2,2,2,2,1,2,22,50,25,2,1,1,2,1,1,1,1,1,1,2,3,1,2,1,2,2,1,1,2,1,3,1,2,4,2,2,2,2,1,2,2,2,2,3,3,3,1,2,3,2,1,1,0.49047619047619,0.700340053457026,0.440754546026173,0.194264569842738,0.782726045883941,0.884718060109513, ,1,12,30,68,41,72,34,18,35,43,0.377538832824955,2.64355488472952,0.567266907118543,0.745876568101023,2.5765693019547,0.212910569614469,1.1900742286672,2.436676248017,0.358263326180053,2.65496593944573,0.422425854962686,2.68169698041268,1.437943234537, , , ,1.06458342260311,0.422409067358969,2.22804944312091,1.37926088666842,1.19723969718007,0.278676293345916,1.52271371627359,1.72749114219402,1.89102844634021,25
30,0,3,1,4,1,1,3,4,2,1,4,1,2,3,3,1,4,2,1,3,2,29,30, ,0,1,0,1,0,1,1,1,0, ,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,6,1,30, ,1,2,1,1,4,1,2,0,0,1,0,0,1,0,0,0, ,2,1,5,2,1,3,2,3,2,4,5,2,1,2,1,3,30,1,5,2,4,5,2,5,1,2,1,4,1,1,4,1,1,2,1,3,1,2,1,4,2,2,5,1,4,3,1,1,5,1,5,1,4,4,1,1,13,23,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1.39047619047619,1.17918454470714,0.499768679145611,0.249768732654949,2.46288798920378,1.56935910141808, ,1,1,21,37,21,36,21,10,19,14,-1.21326665167082,-0.657810927938776,-1.81602790783784,0.0218402780148395,-0.171563474208661,-0.655834016417107,-1.58706373004759,0.304454362438435,-1.16377644378375,-0.654846614323565,-1.26816795004421,-0.491143907537361,-1.18790887669867, , , ,-1.67257424176591,-0.343942889085921,0.103065594269606,-1.28725118831441,-1.54094627580084,-0.688283554941559,0.299089447129785,-1.36453699164658,0.140634423698386,30
44,0,2,1,2,3,1,2,3,2,2,2,2,3,1,1,2,2,2,2,2,2,50,44, ,0,1,0,1,0,1,0,1,0, ,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0, ,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,2,44, ,2,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0, ,3,2,2,2,2,2,3,4,2,2,3,2,2,2,2,2,44,2,3,1,3,2,1,2,1,4,1,1,1,2,3,1,1,2,1,2,1,4,1,3,2,1,2,1,1,2,1,1,1,1,1,3,2,2,2,1,20,56,44,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,3,2,3,1,3,1,3,2,2,1,1,0.39047619047619,0.624880941040924,0.505525029603437,0.255555555555556,0.786774628879892,0.887003172981863, ,0,5,24,45,19,76,26,13,37,6,1.29128838043694,-1.9551518104535,0.438922988429262,0.78466258445909,-2.16637023617936,1.34223343593687,-0.711412221058372,-1.67505489589097,1.25894856021844,-1.94202993342548,1.19177036586016,-1.98654142391012,0.169389861746085, , , ,-0.204359388995849,1.19091054384406,-1.93402058836217,0.240488125792739,-0.67279478973905,1.62960035679566,-1.1177776601461,-0.0312463314226463,-2.24143286734808,44
80,0,3,3,2,3,2,1, ,2,2,3,3,2,4,2,1,2,4,2,2,3,53,80, ,1,1,1,1,0,1,1,0,1, ,1,0,1, ,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,9,6,80, ,2,0,0,1,3,0,3,1,0,0,2,3,0,0,0,0, ,3,1,4,2,1,4,1,4,2,3,3,1,2,1,1,1,80,3,3,1,5,3,1,2,1,2,1,4,1,2,2,1,1,1,2,1,1,1,1,4,1,1,5,1,3,3,1,1,5,2,5,1,4,4,1,1,12,34,80,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1, ,4,1,1,2,3,1,2,2,3,1,1,2,1,1,1,0.765789473684211,0.87509397991542,0.481543412343077,0.231884057971014,2.00944669365722,1.41754953834327, ,4,7,24,36,21,46,21,19,34,15,0.142683540874511,-0.395591450830612,0.245173764859418,-0.183468997833993,-0.477674961672458,-0.0437445262377605,0.079149572921838,-0.583919314583395,0.173545253500489,-0.432313137264679,0.175754661748443,-0.470304993848892,0.153570093019422, , , ,0.1726396082185,-0.0422171125682317,-0.618643147580219,0.143728201639432,0.190559745357422,-0.0196942128969529,-0.422716598785844,-0.10826144889726,-0.554056315482816,80
90,0,4,2,3,2,2,4,4,2,1,3,2,1,4,4,1,3,1,1,4,1,28,90, ,0,1,0,1,1,1,1,1,0, ,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,8,4,90, ,1,0,1,1,3,1,1,2,0,0,0,0,1,0,0,0, ,3,1,4,1,1,3,1,5,1,4,4,1,4,1,1,2,90,5,4,1,4,4,1,5,1,2,1,5,1,1,4,1,1,1,1,4,1,3,1,5,2,1,5,2,5,1,1,1,5,1,5,1,5,4,1,2,11,20,90,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,1,3,2,3,1,2,2,3,1,2,1,3,3,3,1,4,1,2,2,1,1,1,1.54761904761905,1.2440333788203,0.485687854441406,0.235892691951896,2.9919028340081,1.72971177772717,11,1,3,25,33,24,31,27,10,18,11,-1.03108746916869,-0.600417817056381,-2.19861629811899,0.720701236301328,-0.0137250838284081,-0.175517544170057,-2.01639414123568,0.802871218835243,-0.979996949015979,-0.603058755014442,-1.13502229470264,-0.362665593647006,-0.892474537470062,-1.97114449672419,0.839916842842899,-0.0142505568016113,-2.00073197314351,0.174846516935957,0.35273191117142,-1.05700020733755,-1.67058547875406,-0.618261773824663,0.992096598574708,-1.19184685460933,0.081842383939301,90
107,0,3,2,3,2,1,2,3,1,2,2,2,1,4,3,2,2,3,2,4,2,39,107, ,0,1,1,0,0,1,1,1,1, ,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,12,2,107, ,3,2,3,2,3,2,1,2,0,1,1,3,2,1,0,0, ,2,2,2,4,4,4,4,2,4,1,3,4,4,5,4,4,107,3,3,3,2,3,3,3,3,1,2,3,2,1,4,3,1,3,3,5,1,1,1,3,1, ,4,1,5,3,3,1, ,3,2,2,2,5,2,4,16,40,107,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,2,1,1,2,1,1,3,2,1,2,1,2,1,1,2,1,1,1,0.79047619047619,0.889087279447969,0.478975162498508,0.229417206290472,1.41891891891892,1.19118383086697, ,3,6,20,69,35,56,26,14,25,26,-0.650625871435487,1.43976287862147,-0.388350980268793,-0.072185051217943,1.60663985779574,-0.680126783920198,0.238340885841969,1.51048996756332,-0.642142850903343,1.45527340292576,-0.611302502595674,1.50557915883768,0.106737526451457, , , ,0.0725532647880743,-0.429972445951149,1.39044456391165,0.031776289124209,0.511223946650276,-0.945257429513412,1.11325928906607,0.230456468782969,1.48482879079935,107
